Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999997e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999859798e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4691750993257802e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4666871634862004e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4646282891477653e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4377106706017003e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4314109182891890e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4284755378858926e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4146315084499112e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4115193085017096e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4087708433301238e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4003206138154279e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.3988759983814781e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.3974600580206988e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.3915893362674775e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999997e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999997e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4788738020648112e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4772445880163444e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4757735680134050e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4520070990278470e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4458967011578177e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4430224049948851e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4293432475285212e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4262507406271918e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4235157082232303e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4150940366007236e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4136530993602180e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4122404910126058e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.4063818019443419e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999997e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999997e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4842183344218554e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4841759850396239e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4841023134368422e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4751931782534035e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4706920434018018e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4683671097627218e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4562429017774216e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4533436185799426e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4507415885928331e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4426054615718816e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4412015806251307e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4398226108836339e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.4340858609245520e+05
