Observation Name, Region, Functional, Variable, Time [s], Value [kg m SI]
============================================================================
obl 1, Origin, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.0923320755220588e-03
obl 2, Upwind210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5899746066333440e-07
obl 3, Upwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5651576223745655e-06
obl 4, Upwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6462521176984574e-05
obl 5, Upwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.9972863434025823e-04
obl 6, Dnwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.3263357233904474e-04
obl 7, Dnwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.8584813594337790e-04
obl 8, Dnwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.6711601752765723e-04
obl 9, Dnstrm210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.9722256143235392e-04
obl 10, Dnstrm270, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.4822783764238080e-04
obl 11, Dnstrm330, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0871447922141318e-04
obl 12, Dnstrm390, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.7278932610876354e-04
obl 13, Dnstrm450, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3717045995422795e-04
obl 14, Dnstrm510, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0045149635877541e-04
obl 15, Dnstrm570, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6287937671265862e-04
obl 16, Dnstrm630, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.2600950165193026e-04
obl 17, Dnstrm690, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.2056568833627744e-05
obl 18, Dnstrm750, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.3083941970904997e-05
obl 19, Dnstrm810, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.0337980247827635e-05
obl 20, Dnstrm870, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3991003767001184e-05
obl 21, Dnstrm930, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3580027764531268e-05
obl 22, Cross0030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7511661892048619e-04
obl 23, Cross0060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6836521051552303e-05
obl 24, Cross0090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.9470777143395014e-06
obl 25, Cross0120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3426527735931856e-06
obl 26, Cross0150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0535030421355041e-07
obl 27, Cross0180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.8372340945167168e-08
obl 28, Cross0210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4778993586949815e-08
obl 29, Cross0240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0698526762912241e-09
obl 30, Crossb030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2054346982201849e-04
obl 31, Crossb060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4543116372628875e-04
obl 32, Crossb090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.5814000673503519e-05
obl 33, Crossb120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.2462000270545673e-05
obl 34, Crossb150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1775735968432273e-05
obl 35, Crossb180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.6989209724203830e-06
obl 36, Crossb210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0211875020648627e-06
obl 37, Crossb240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.5402393304515604e-07
