Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
============================================================================
obl 1, Unconfined x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.7627191327872855e+05
obl 2, Unconfined x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.6760808975689096e+05
obl 3, Unconfined x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.5667658388969052e+05
obl 4, Unconfined x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.4561508021075360e+05
obl 5, Unconfined x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.3440576284573003e+05
obl 6, Unconfined x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2295642658019828e+05
obl 7, Unconfined x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.1127576404829498e+05
obl 8, Unconfined x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.9926860772508066e+05
obl 9, Unconfined x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.8683137383846205e+05
obl 10, Unconfined x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.7370566946596917e+05
obl 11, Unconfined x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.5956018486920476e+05
obl 12, Confined x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.2552058668765117e+05
obl 13, Confined x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.1718458162695140e+05
obl 14, Confined x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.0646365498655074e+05
obl 15, Confined x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.9541021307454794e+05
obl 16, Confined x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.8402432107518974e+05
obl 17, Confined x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.7230414606408501e+05
obl 18, Confined x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.6024648344426049e+05
obl 19, Confined x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.4784705724562402e+05
obl 20, Confined x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.3510146192077076e+05
obl 21, Confined x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.2200659885147295e+05
obl 22, Confined x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.0856324086067732e+05
obl 23, Top x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.6106325123781524e+04
obl 24, Top x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -2.4682741740750535e+04
obl 25, Top x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -3.5654413373430354e+04
obl 26, Top x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -4.6715618671551332e+04
obl 27, Top x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -5.7885354604871332e+04
obl 28, Top x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -6.9335741503685538e+04
obl 29, Top x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -8.1003298757394965e+04
obl 30, Top x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -9.2998418426700649e+04
obl 31, Top x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.0542657755660836e+05
obl 32, Top x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.1845417022062375e+05
obl 33, Top x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.3264165326784010e+05
obl 34, Top x=10 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4197264029054762e-01
obl 35, Top x=90 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3911748868923599e-01
obl 36, Top x=190 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3585266879948557e-01
