Observation Name, Region, Functional, Variable, Time [s], Value [kg m SI]
============================================================================
obl 1, Origin, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.4330701440138997e-03
obl 2, Upwind210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.5022575908086816e-09
obl 3, Upwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.0481703568715977e-08
obl 4, Upwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4385469160538995e-06
obl 5, Upwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.1393526064863011e-05
obl 6, Dnwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.0699248424295410e-04
obl 7, Dnwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.3290480596408250e-04
obl 8, Dnwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6288088575884849e-04
obl 9, Dnstrm210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2037446922302633e-04
obl 10, Dnstrm270, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.8642973726538280e-04
obl 11, Dnstrm330, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5289812699531436e-04
obl 12, Dnstrm390, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1707198662234802e-04
obl 13, Dnstrm450, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.0928305115460480e-05
obl 14, Dnstrm510, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.9176220529711474e-05
obl 15, Dnstrm570, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.5773492656209887e-05
obl 16, Dnstrm630, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1511459876284584e-05
obl 17, Dnstrm690, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.3533238434518240e-06
obl 18, Dnstrm750, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3907718305199484e-06
obl 19, Dnstrm810, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.7563059007699308e-07
obl 20, Dnstrm870, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.6042426144184086e-08
obl 21, Dnstrm930, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7367507911116114e-08
obl 22, Cross0030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.1825730634816873e-05
obl 23, Cross0060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7724264708569885e-05
obl 24, Cross0090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.5617602667939147e-06
obl 25, Cross0120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.7785944660506333e-07
obl 26, Cross0150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7270609104462386e-07
obl 27, Cross0180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.7923457749817029e-08
obl 28, Cross0210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.0436870093799290e-09
obl 29, Cross0240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6069483836861951e-09
obl 30, Crossb030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3120744128681550e-05
obl 31, Crossb060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1868096918773537e-05
obl 32, Crossb090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0923176132364068e-04
obl 33, Crossb120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0878359334064225e-04
obl 34, Crossb150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6288088575884849e-04
obl 35, Crossb180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0878359334064217e-04
obl 36, Crossb210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0923176132364055e-04
obl 37, Crossb240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1868096918773469e-05
